"primaryNameTib","primaryNameSkt","primaryNameEng","primaryNameLang","otherNameTib","otherNameSkt","otherNameEng","Dates","Date-Begin","Date-End","TranslatedBy","TranslatorOf","recID","bAuthor","bTranslator","Notes"
"AA BADH'U T'I PA","avadhu-tipa-da","Avadhutipada","SK","","","","","0","25","","","1","1","0",""
"AA RI DGE BSHES BLO BZANG CHOS 'DZIN","","Geshe Michael Roach","TB","","","","1952-","24","24","","","2","0","0",""
"AA TZA tA","acat.a","Achata","TB","","","","","0","25","","","3","0","0",""
"A'ARYA SH'U RA","a-ryashu-ra","Aryashura","SK","","","","","0","25","","","4","1","0",""
"AINDRA BH'U TI","indrabhu-ti","Indrabhuti","TB","","","","","0","25","","","5","1","0",""
"BA LIm","balim.","Balim","TB","","","","","0","25","","","6","1","0",""
"BEE RO TZA NA RAKshI TA","vairocanaraks.ita","Vairochanarakshita","TB","","","Berotsana;","b. 824","13","13","","","7","1","0",""
"BI BH'U TI TZANDRA","vibhu-ticandra","Vibhutichandra","TB","","","","","0","25","","","8","0","0",""
"BI MA LA MI","vimalamitra","Vimalamitra","TB","","","","","0","25","","","9","1","0",""
"BIDY'A KA RA PRA BHA","vidya-karaprabha","Vidyakaraprabha","TB","","","","","0","25","","","10","1","0",""
"BIR WA PA","viru-pa","Virupa","TB","BI R'U PA;BIR WA PA;GRUB CHEN BIRWA PA","viru-pa","Virupa","c. 700","12","12","","","11","0","0",""
"BKA' CHEN BLO BZANG BZOD PA","","Kachen Losang Supa","TB","DKA' CHEN BLO BZANG BZOD PA","","","d. c. 1998","24","24","","","12","1","0",""
"BKA' CHEN BYAMS PA THUB BSTAN","","Kachen Jampa Tupten","TB","RDZONG RTSE BYAMS PA THUB BSTAN","","Dzongtse Janpa Tupten","c. 1950","24","24","","","13","1","0",""
"BKRA SHIS DPAL LDAN","","Tashi Pelden","TB","","","","","0","25","","","14","0","0",""
"BLA MA DBU MA PA GRUB CHEN DPA' BO RDO RJE","","Lama Umapa Drupchen Pawo Dorje","TB","","","","fl. 1390","18","18","","","15","0","0",""
"BLO BZANG DON GRUB","","Losang Dundrup","TB","DBEN SA PA BLO BZANG DON GRUB;MGON PO SKYABS;DBEN SA PA BLO BZANG DON YOD GRUB PA","","Wensapa Losang Dundrup;Gunpo Kyap;Wensapa Losang Dunyu Druppa","1504-1566","20","20","","","361","1","0","Received the unique transmission of the Snyan brgyud be'u bum and the Sprul pa'i legs bam and named the rgyal-tshab of Grub-chen Chos-kyi-rdo-rje.\
Founds Dben-sa Chos-kyi-pho-brang.\
Meditated at Dben-gnas Brag-rgya Rdo-rje Pho-brang, G.ye-ma Stag-gzigs, Glang-chen, Ko-brag, Pa-snam Jo-bo Lha-ri.\
The 3rd embodiment of the PaN-chen line, therefore the lst PaN-chen Blo-bzang-chos-kyi-rgyal-mtshan is the 4th according to this tradition.\
Students (not entered): Rje Blo-gros-rnam-rgyal, Sangs-rgyas-rgyal-mtshan, Chos-rje Ngag-dbang sku-mched, Bkra shis rgyal mtshan.\
Collected Works in two volumes.\
"
"BLO BZANG SENG GE","sumatisim.ha","Losang Gyeltsen Sengge","TB","BLO BZANG RGYAL MTSHAN SENG+GE;SU MA TI DHWA DZA SINGHA","","Sumatisimha","1757-1849","22","23","","","18","1","0",""
"DRI MED 'OD ZER","","Drimey Oser","TB","KLONG CHEN RAB 'BYAMS PA DRI MED 'OD ZER;TSUL KHRIMS BLO GROS, KLONG CHEN PA;BSAM YAS LUNG MANG BA","","Longchen Rapjampa Drimey Oser;Tsultrim Lodru, Longchenpa;Samye Lung Mangwa","1308-1364","18","18","","","19","1","0","1319. Takes rab-byung vows from the abbot of Bsam-yas Bsam-grub-rin-chen.\
1326. Enrolls in Gsang-phu Ne'u-thog for formal studies with Mkhan-rabs 15 Slob-dpon Btsan-rgod-pa and Mkhan-rabs 16 Bla-brang Chos-dpal-rgyal-mtshan.\
1338. Comes to Snye-phu Shug-gseb and teaches Snying thig.\
\
L. v.d. Kuijp has verified that the year of death of the subject was 1364. Also the unrecorded teacher Ston tshul may have been Btsun pa Ston tshul, Sa-skya scholar and author of at least two works on Tshad ma.\
\
Subsequent main lineage holders include lha btsun chen po/ gter chen 'gyur med rdo rje/ 'bri gung rin chen phun tshogs/ rig 'dzin 'jigs med gling pa/ mi 'gyur nam mkha'i rdo rje/ 'jam dbyangs mkhyen brtse'i dbang po.\
Among them, 'jigs med gling pa received the nye brgyud via direct vision of klong chen pa. 'jigs med gling pa passed his lineage to rdo grub phrin las 'od zer, who passed it to mi 'gyur nam mkha' rdo rje, who in turn had a vision of klong chen pa and received the yang tig from him.\
"
"BOD GZHUNG","","Staff of Tibetan Government Department of Education","TB","","","","","0","25","","","20","0","0",""
"BRAG DGON PA DKON MCHOG BSTAN PA RAB RGYAS","","Drakgunpa Konchok Tenpa Rabgye","TB","","","","1801-1866","23","23","","","21","0","0",""
"'BRAS SPUNGS BLO GSAL GLING GI TRE'O DGE BSHES TSE DBANG BSAM 'GRUB","","Geshe Tsewang Samdrup","TB","","","Drepung Losel Linggyi Treo Geshe Tsewang Samdrup","fl. 1835","23","23","","","22","0","0",""
"RGYAL BA'I 'BYUNG GNAS","","Gyelwey Jungney","TB","'BROM STON RJE;'BROM STON RGYAL BA'I 'BYUNG GNAS","","Dromtun Je;Dromtun Gyelway Jungney","1004/5-1064","15","5","","","23","1","0",""
"BRTZON 'GRUS DPAL BSHES GNYEN","","Tsundru Pel Shenyen","TB","BRTZON 'GRUS DPAL BSHES GNYEN","","Tsundru Pel Shenyen","","0","25","","","24","0","0",""
"BSKAL BZANG RNAM RGYAL","","Kelsang Namgyel","TB","KA LBI BHA DRA BI DZA YA","","Kalbibhadra Vijaya","fl. 1780","22","22","","","25","1","0",""
"BU STON RIN CHEN GRUB","","Buton Rinchen Drup","TB","BU STON KHA CHE;BU STON RIN CHEN GRUB;BU STON THAMS CAD MKHYEN PA;RIN CHEN GRUB","","Buton Rinchen Drup;Buton Rinpoche Rinchen Drup;The Omniscient One, Buton","1290-1364","17","18","","","26","0","0",""
"BUDDHA SHR'I DZNY'A NA","buddhashri-jn~a-na","Buddhashrijnyana","TB","","","","","0","25","","","27","1","0",""
"BYA BRAL BA DKON MCHOG RGYAL MTSAN","","Jadrelwa Kunchok Gyeltsen","TB","BYA BRAL BA DKON MCHOG RGYAL MTSAN","","Jadrelwa Kunchok Gyeltsen","14th century","18","18","","","28","0","0",""
"BYAMS PA","maitreya","Maitreya","SK","","","","c. 350","8","8","","","29","1","0",""
"BYAMS PA MGON PO","maitreyana-tha","Maitreyanatha","SK","","","","","0","25","","","30","1","0",""
"BYANG CHUB BZANG PO","bodhibhadra","Bodhibhadra","TB","","","","c. 200","7","7","","","31","1","0",""
"BYANG RTZE THOS BSAM GLING GI BLA THOG BCO BRGYAD PA BLO BZANG BSTAN PA","","Chogyepa Losang Tenpa","TB","BYANG RTZE THOS BSAM GLING GI BLA THOG BCO BRGYAD PA BLO BZANG BSTAN PA","","Chogyepa Losang Tenpa;Jangtse Tosam Linggi Latog Chogyepa Losang Tenpa","","0","25","","","32","0","0",""
"MI BSKYOD RDO RJE","","Mikyu Dorje","TB","KAR+MA PA 08 MI BSKYOD RDO RJE;CHOS KYI GRAGS PA DPAL BZANG PO","","His Holiness the Eighth Karmapa, Mikyu Dorje;Chukyi Drakpa Pelsangpo","1507-1554","20","20","","","34","1","0","1511. recognized by rgyal tshab bkra shis rnam rgyal and lho rong go srI. bkra shis rnam rgyal is an anachronism.\
Sungbum in about 28 volumes of which only 13 volumes seem to be preserved.\
Contents of collected works once preserved in the palace of nationalities library in beijing\
1549. karma pa mi bskyod rdo rjes gsung rab rgya mtsho'i gling phyag btab\
1554. karma pa sku phreng brgyad pa mi bskyod rdo rje sku gshegs\
Undoubtedly the most important karma kaM tshang hierarch of the lineage. During his period the tradition reached its summit of greatness"
"CHOS 'BYOR DPAL BZANG","","Chunjor Pelsang","TB","KUN MKHYEN CHOS 'BYOR DPAL BZANG","","Kunkyen Chunjor Pelsang","c. 1450","19","19","","","35","1","0",""
